No	Name		Year	Country	Score	Lasting
433	铠甲勇士捕王	2016	中国大陆	8.4	 86
434	移动迷宫	2014	美国	8.4	 113
435	极速风流	2015	英国	8.4	 121
436	西游·降魔篇	2013	中国大陆	8.4	 110
437	超能查派	2015	美国	8.4	 120
438	洛克王国4：出发！巨人谷	2015	中国大陆	8.4	 83
439	精灵宝可梦：波尔凯尼恩与机巧的玛机雅娜	2017	日本	8.4	 95
440	巨额来电	2017	中国大陆	8.4	 123
441	冰川时代2：融冰之灾	2014	美国	8.4	 91
442	托马斯和朋友们：多多岛之迷失宝藏	2016	英国	8.4	 81
443	狗狗的疯狂假期	2018	西班牙	8.4	 90
444	侏罗纪公园3D	2013	美国	8.4	 127
445	听说	2015	中国台湾	8.4	 107
446	克隆人	2018	英国	8.4	 107
447	冬	2016	中国大陆	8.4	 77
448	金刚狼2	2013	美国	8.4	 126
449	咕噜咕噜美人鱼2	2017	中国大陆	8.4	 92
450	米花之味	2018	中国大陆	8.4	 95
451	摩尔庄园3：魔幻列车大冒险	2016	中国大陆	8.4	 86
452	霍比特人1：意外之旅	2013	美国	8.4	 169
453	绿野仙踪之奥兹国奇幻之旅	2017	俄罗斯	8.4	 92
454	神兽金刚之青龙再现	2016	中国大陆	8.4	 87
455	皮绳上的魂	2017	中国大陆	8.4	 129
456	虎胆龙威5	2013	美国	8.4	 98
457	虎皮萌企鹅	2018	法国	8.4	 97
458	铠甲勇士之雅塔莱斯	2014	中国大陆	8.4	 93
459	我的冤家是条狗	2018	英国	8.4	 95
460	追爱大布局	2014	中国台湾	8.4	 102
461	血狼犬	2017	中国大陆	8.4	 95
462	洛克王国3圣龙的守护	2014	中国大陆	8.4	 85
463	一念无明	2017	中国香港	8.4	 101
464	青年马克思	2018	德国	8.4	 115
465	灿烂这一刻	2017	中国大陆	8.4	 105
466	我的诗篇	2017	中国大陆	8.4	 104
467	少年毛泽东	2015	中国大陆	8.4	 76
468	双面劫匪	2017	美国	8.4	 92
469	动物也疯狂	2014	印度	8.4	 97
470	洛克王国2：圣龙的心愿	2013	中国大陆	8.4	 80
471	极地大冒险2	2014	芬兰	8.4	 77
472	初恋日记	2017	中国香港	8.4	 114
473	尼斯：疯狂的心	2018	巴西	8.4	 109
474	十八洞村	2017	中国大陆	8.4	 124
475	铁娘子：坚固柔情	2013	英国	8.4	 105
476	梦开始的地方	2015	中国大陆	8.4	 95
477	后来的我们	2018	中国大陆	8.3	 120
478	小时代4：灵魂尽头	2015	中国大陆	8.3	 116
479	微微一笑很倾城	2016	中国大陆	8.3	 105
480	星际特工：千星之城	2017	法国	8.3	 137
